===============================================================
Gobuster v3.6
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://play.picoctf.org/practice?FUZZ=1
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /home/piyal/SecLists/Discovery/Web-Content/BurpSuite-ParamMiner/lowercase-headers
[+] Excluded Status codes:   400,301
[+] User Agent:              gobuster/3.6
[+] Timeout:                 10s
===============================================================
Starting gobuster in fuzzing mode
===============================================================
[2KFound: [Status=200] [Length=2466] [Word=Catalog] https://play.picoctf.org/practice?Catalog=1
[2KFound: [Status=200] [Length=2466] [Word=Category] https://play.picoctf.org/practice?Category=1
[2KFound: [Status=200] [Length=2466] [Word=Cert-Cookie] https://play.picoctf.org/practice?Cert-Cookie=1
[2KFound: [Status=200] [Length=2466] [Word=Cert-Issuer] https://play.picoctf.org/practice?Cert-Issuer=1
[2KFound: [Status=200] [Length=2466] [Word=Catalog-Server] https://play.picoctf.org/practice?Catalog-Server=1
[2KFound: [Status=200] [Length=2466] [Word=Cert-Keysize] https://play.picoctf.org/practice?Cert-Keysize=1
[2KFound: [Status=200] [Length=2466] [Word=Cert-Flags] https://play.picoctf.org/practice?Cert-Flags=1
[2KFound: [Status=200] [Length=2466] [Word=Cert-Secretkeysize] https://play.picoctf.org/practice?Cert-Secretkeysize=1
[2KFound: [Status=200] [Length=2466] [Word=Cert-Serialnumber] https://play.picoctf.org/practice?Cert-Serialnumber=1
[2KFound: [Status=200] [Length=2466] [Word=Cert-Server-Issuer] https://play.picoctf.org/practice?Cert-Server-Issuer=1
[2KFound: [Status=200] [Length=2466] [Word=Cert-Subject] https://play.picoctf.org/practice?Cert-Subject=1
[2KFound: [Status=200] [Length=2466] [Word=Cert-Server-Subject] https://play.picoctf.org/practice?Cert-Server-Subject=1
[2KFound: [Status=200] [Length=2466] [Word=Cf-Template-Path] https://play.picoctf.org/practice?Cf-Template-Path=1
[2KFound: [Status=200] [Length=2466] [Word=Cf-Ipcountry] https://play.picoctf.org/practice?Cf-Ipcountry=1
[2KFound: [Status=200] [Length=2466] [Word=Cf-Visitor] https://play.picoctf.org/practice?Cf-Visitor=1
[2KFound: [Status=200] [Length=2466] [Word=Ch] https://play.picoctf.org/practice?Ch=1
[2KFound: [Status=200] [Length=2466] [Word=Challenge-Response] https://play.picoctf.org/practice?Challenge-Response=1
[2KFound: [Status=200] [Length=2466] [Word=Charset] https://play.picoctf.org/practice?Charset=1
[2KFound: [Status=200] [Length=2466] [Word=Chunk-Size] https://play.picoctf.org/practice?Chunk-Size=1
[2KFound: [Status=200] [Length=2466] [Word=Client] https://play.picoctf.org/practice?Client=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Bad-Request] https://play.picoctf.org/practice?Client-Bad-Request=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Conflict] https://play.picoctf.org/practice?Client-Conflict=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Error-Cannot-Access-Local-File] https://play.picoctf.org/practice?Client-Error-Cannot-Access-Local-File=1
[2KFound: [Status=200] [Length=2466] [Word=Clientaddress] https://play.picoctf.org/practice?Clientaddress=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Error-Cannot-Connect] https://play.picoctf.org/practice?Client-Error-Cannot-Connect=1
[2KFound: [Status=200] [Length=2466] [Word=Cf-Connecting-Ip] https://play.picoctf.org/practice?Cf-Connecting-Ip=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Error-Communication-Failure] https://play.picoctf.org/practice?Client-Error-Communication-Failure=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Error-Connect] https://play.picoctf.org/practice?Client-Error-Connect=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Error-Invalid-Parameters] https://play.picoctf.org/practice?Client-Error-Invalid-Parameters=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Error-Invalid-Server-Address] https://play.picoctf.org/practice?Client-Error-Invalid-Server-Address=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Error-No-Error] https://play.picoctf.org/practice?Client-Error-No-Error=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Error-Protocol-Failure] https://play.picoctf.org/practice?Client-Error-Protocol-Failure=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Error-Unspecified-Error] https://play.picoctf.org/practice?Client-Error-Unspecified-Error=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Expectation-Failed] https://play.picoctf.org/practice?Client-Expectation-Failed=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Forbidden] https://play.picoctf.org/practice?Client-Forbidden=1
[2KFound: [Status=200] [Length=2466] [Word=Clientip] https://play.picoctf.org/practice?Clientip=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Gone] https://play.picoctf.org/practice?Client-Gone=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Address] https://play.picoctf.org/practice?Client-Address=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Ip] https://play.picoctf.org/practice?Client-Ip=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Length-Required] https://play.picoctf.org/practice?Client-Length-Required=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Not-Found] https://play.picoctf.org/practice?Client-Not-Found=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Not-Acceptable] https://play.picoctf.org/practice?Client-Not-Acceptable=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Method-Not-Allowed] https://play.picoctf.org/practice?Client-Method-Not-Allowed=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Payment-Required] https://play.picoctf.org/practice?Client-Payment-Required=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Precondition-Failed] https://play.picoctf.org/practice?Client-Precondition-Failed=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Proxy-Auth-Required] https://play.picoctf.org/practice?Client-Proxy-Auth-Required=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Quirk-Mode] https://play.picoctf.org/practice?Client-Quirk-Mode=1
